MW,LogP,NumHDonors,NumHAcceptors
492.51500000000016,3.346090000000001,2.0,8.0
492.51500000000016,2.6669799999999997,2.0,9.0
483.90300000000013,3.991500000000002,2.0,7.0
494.5450000000002,4.899020000000003,1.0,5.0
504.49800000000016,2.3757,2.0,10.0
431.3740000000002,2.307480000000001,2.0,7.0
508.89700000000033,3.402800000000001,2.0,9.0
380.78200000000015,3.0246000000000004,2.0,5.0
483.47800000000024,4.6010000000000035,1.0,7.0
491.5010000000002,5.772720000000004,1.0,6.0
525.5810000000004,2.9895000000000023,1.0,8.0
465.91300000000007,3.046900000000001,3.0,6.0
479.9400000000001,3.389100000000001,2.0,6.0
451.5020000000002,4.044380000000003,1.0,7.0
472.5420000000002,2.6545000000000005,2.0,7.0
527.5720000000002,3.701100000000003,1.0,7.0
465.4560000000002,4.136300000000002,1.0,7.0
448.42900000000026,4.267300000000003,1.0,7.0
443.4130000000001,4.178000000000002,1.0,7.0
457.44000000000017,4.486420000000004,1.0,7.0
473.5050000000002,2.7009000000000007,2.0,8.0
461.40300000000013,4.317100000000002,1.0,7.0
469.5170000000002,3.0061000000000018,2.0,7.0
473.5050000000002,2.7009000000000007,2.0,8.0
546.5590000000001,4.878600000000003,2.0,9.0
385.3740000000001,2.6329800000000008,2.0,6.0
537.5710000000003,4.199300000000003,1.0,9.0
463.4720000000001,4.410300000000002,1.0,7.0
468.91300000000024,3.263820000000001,2.0,6.0
474.52500000000015,3.2069900000000002,2.0,8.0
474.52500000000015,2.5278799999999997,2.0,9.0
450.4980000000002,4.012900000000002,1.0,7.0
312.3,3.760300000000002,1.0,5.0
500.47400000000033,3.2118200000000012,2.0,7.0
480.52900000000017,2.0597999999999996,2.0,10.0
480.52900000000017,1.5435,3.0,10.0
471.4670000000002,4.6106000000000025,1.0,7.0
479.52700000000016,5.5785000000000045,1.0,6.0
430.43900000000025,3.7806000000000024,1.0,7.0
435.4340000000002,3.525100000000002,1.0,7.0
451.4730000000001,5.145900000000004,1.0,6.0
493.53600000000034,2.3858000000000006,2.0,8.0
497.54600000000033,4.165780000000003,1.0,6.0
497.54600000000033,4.165780000000003,1.0,6.0
547.6750000000003,5.634080000000005,1.0,6.0
468.9130000000003,2.91782,2.0,6.0
452.5150000000002,3.1635800000000014,2.0,8.0
493.5110000000002,3.3892000000000015,2.0,8.0
485.4950000000002,2.934400000000002,2.0,8.0
479.94000000000017,4.084400000000001,2.0,7.0
488.4950000000002,3.931390000000002,2.0,7.0
498.5190000000002,1.6826,3.0,10.0
412.53700000000026,4.236000000000003,1.0,5.0
491.93500000000034,3.970500000000003,2.0,8.0
466.4970000000003,2.9853000000000014,2.0,8.0
511.5050000000002,3.0737000000000005,2.0,7.0
464.9500000000003,3.548800000000001,2.0,6.0
461.95000000000016,3.9453000000000014,2.0,7.0
495.55500000000035,3.1885800000000017,2.0,7.0
535.8980000000003,4.201800000000002,2.0,9.0
509.5820000000002,3.578680000000002,2.0,7.0
525.4750000000001,4.025080000000002,2.0,9.0
451.88600000000025,2.7862,3.0,6.0
517.5360000000004,4.530200000000003,1.0,7.0
485.4740000000002,3.542300000000002,1.0,7.0
441.93400000000025,4.259600000000003,1.0,4.0
490.5570000000002,3.1328000000000022,1.0,8.0
453.4240000000002,3.822300000000002,1.0,7.0
484.50000000000034,3.1622200000000005,2.0,7.0
469.5460000000003,2.6530000000000014,2.0,8.0
539.6080000000003,3.378000000000003,1.0,8.0
412.53700000000026,4.236000000000003,1.0,5.0
456.90200000000016,3.044900000000001,2.0,6.0
525.4750000000001,4.025080000000002,2.0,9.0
415.22700000000015,3.678000000000001,2.0,5.0
520.5210000000001,4.523320000000003,2.0,9.0
467.50500000000017,2.795300000000001,2.0,8.0
429.40200000000027,3.3202800000000012,2.0,6.0
498.5190000000002,2.1989,2.0,10.0
454.88600000000025,2.955400000000001,2.0,6.0
489.9190000000003,3.880200000000003,2.0,8.0
330.29,3.899400000000002,1.0,5.0
328.75500000000005,4.274600000000003,1.0,5.0
447.4420000000001,2.6339000000000006,2.0,7.0
428.49000000000007,2.668800000000001,2.0,9.0
403.57000000000016,5.523420000000004,2.0,3.0
515.6450000000003,4.638600000000004,3.0,5.0
442.4250000000001,4.783000000000003,1.0,6.0
430.43900000000025,3.7806000000000033,1.0,7.0
431.5800000000002,5.044820000000004,2.0,4.0
515.6450000000003,4.638600000000004,3.0,5.0
467.45100000000025,4.212400000000003,1.0,7.0
496.3950000000002,4.598700000000003,2.0,7.0
450.4450000000003,4.0100000000000025,1.0,7.0
409.9170000000001,4.569200000000005,1.0,5.0
517.5360000000004,4.530200000000003,1.0,7.0
411.48400000000015,2.534700000000001,2.0,9.0
483.39700000000016,3.1008000000000004,2.0,7.0
607.6980000000002,4.035720000000003,3.0,6.0
491.9510000000001,5.278440000000003,2.0,7.0
472.5170000000002,3.305900000000002,2.0,7.0
488.5200000000002,4.028640000000002,2.0,9.0
486.48200000000026,3.6339000000000024,1.0,8.0
519.4820000000002,4.941200000000004,1.0,6.0
450.9450000000002,5.133780000000006,1.0,5.0
450.9450000000002,5.133780000000006,1.0,5.0
503.4850000000002,3.073500000000002,2.0,8.0
485.4950000000002,2.934400000000002,2.0,8.0
512.5010000000003,3.6276800000000016,2.0,9.0
561.58,5.396280000000004,1.0,6.0
459.5620000000001,4.009300000000002,1.0,6.0
456.9020000000002,2.8554000000000013,2.0,6.0
425.5070000000002,4.088020000000003,1.0,4.0
455.5150000000003,2.5766,2.0,7.0
507.61000000000024,4.853880000000004,1.0,6.0
495.55500000000035,3.1885800000000017,2.0,7.0
433.4830000000001,5.006800000000004,1.0,6.0
521.5930000000005,3.986780000000003,1.0,7.0
498.55900000000025,3.0040000000000013,1.0,8.0
617.769,7.5406000000000075,3.0,5.0
528.5600000000003,3.0961000000000016,1.0,8.0
448.95400000000024,3.992180000000004,1.0,5.0
474.4680000000002,3.209780000000001,2.0,8.0
457.44000000000017,4.486420000000004,1.0,7.0
520.5210000000001,4.523320000000003,2.0,9.0
538.0040000000004,5.126000000000004,2.0,8.0
517.4800000000001,3.6300000000000017,2.0,8.0
