molecule_chembl_id,units,smiles,IC50_norm,pIC50,bioactivity_class
CHEMBL3354710,nM,CC(C)(C)COc1ccc2c(c1)[C@]1(COC(N)=N1)c1cc(-c3c(F)ccnc3F)ccc1O2,0.5,9.30102999566398,Active
CHEMBL5837889,nM,CC1(C)C(N)=N[C@](CF)(c2cc(NC(=O)c3cnc(OCC4CC4)cn3)ccc2F)CS1(=O)=O,0.5,9.30102999566398,Active
CHEMBL5940054,nM,C[C@]1(c2cc(/C=C(\F)c3ccc(C#N)cn3)ccc2F)N=C(N)S[C@@]2(C(=O)N3CC[C@H](F)C3)C[C@H]21,0.509,9.293282217663242,Active
CHEMBL6005956,nM,C[C@]1(c2cc(/C=C(\F)c3ccc(C#N)cn3)ccc2F)N=C(N)S[C@@]2(C(=O)N3CC[C@@H](F)C3)C[C@H]21,0.518,9.285670240254769,Active
CHEMBL5915228,nM,C[C@]1(c2cc(/C=C(\F)c3ccc(C#N)cn3)ccc2F)N=C(N)S[C@@]2(C(=O)N3CC[C@@H]4CCCC[C@H]4C3)C[C@H]21,0.527,9.278189384787453,Active
CHEMBL5875827,nM,Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@]2(CF)CS(=O)(=O)C3(CC3)C(N)=N2)c1,0.54,9.267606240177033,Active
CHEMBL5746081,nM,CC1(C)C(N)=N[C@](C)(c2cc(Nc3nccc4cc(C#N)cnc34)ccc2F)CS1(=O)=O,0.54,9.267606240177033,Active
CHEMBL6050614,nM,COc1cnc2c(Nc3ccc(F)c([C@]4(CF)CS(=O)(=O)C(C)(C)C(N)=N4)c3)ncc(F)c2c1,0.55,9.259637310505756,Active
CHEMBL3667410,nM,NC1=N[C@@]2(c3cc(NC(=O)c4ccc(F)cn4)ccc3F)CN(c3ncc(F)cn3)C[C@H]2CS1,0.554,9.25649023527157,Active
CHEMBL5974242,nM,CC1(C)C(N)=N[C@](C)(c2cc(Nc3ncc(F)c4cc(Cl)cnc34)ccc2F)CS1(=O)=O,0.56,9.2518119729938,Active
CHEMBL5877502,nM,[C-]#[N+]c1cnc2c(Nc3ccc(F)c([C@]4(CF)CS(=O)(=O)C(C)(C)C(N)=N4)c3)ncc(F)c2c1,0.56,9.2518119729938,Active
CHEMBL3667411,nM,NC1=N[C@@]2(c3cc(NC(=O)c4cnc(CO)cn4)ccc3F)CN(c3ncc(F)cn3)C[C@H]2CS1,0.569,9.244887733604928,Active
CHEMBL5813046,nM,CC#Cc1cncc(-c2ccc3c(c2)C2(N=C(C)C(N)=N2)[C@]2(CC[C@@H](OC)CC2)C3)c1,0.57,9.244125144327509,Active
CHEMBL4286331,nM,NC1=N[C@@]2(CO1)c1cc(NC(=O)c3ccc(Cl)cn3)ccc1Oc1cnc(C3CCOCC3)cc12,0.57,9.244125144327509,Active
CHEMBL4290822,nM,NC1=N[C@@]2(CO1)c1cc(-c3cncc(C#CCO)c3)ccc1Oc1cnc(C3=CCOCC3)cc12,0.58,9.236572006437065,Active
CHEMBL4740873,nM,CN=[S@@]1(=O)C[C@@](C)(c2cc(NC(=O)c3ncc(C#N)cc3C)ccc2F)N=C(N)N1CC(F)(F)F,0.59,9.229147988357855,Active
CHEMBL5862340,nM,C=Cc1cc(Cl)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CS(=O)(=O)C(C)(C)C(N)=N2)c1,0.59,9.229147988357855,Active
CHEMBL5938817,nM,CC1(C)C(N)=N[C@](C)(c2cc(Nc3nccc4cc(Cl)cnc34)ccc2F)CS1(=O)=O,0.59,9.229147988357855,Active
CHEMBL5906022,nM,C[C@]1(c2cc(/C=C(\F)c3ccc(C#N)cn3)ccc2F)N=C(N)S[C@@]2(C(=O)N3CC[C@H](O)C3)C[C@H]21,0.592,9.22767829327708,Active
CHEMBL3949245,nM,NC1=NC2(CCO1)c1cc(NC(=O)c3cnc(Cl)cn3)ccc1Oc1c2cc(-c2cncc(F)c2)nc1F,0.6,9.221848749616356,Active
CHEMBL5913417,nM,C[C@]1(O)CCN(C(=O)[C@]23C[C@H]2[C@@](C)(c2cc(/C=C(\F)c4ccc(C#N)cn4)ccc2F)N=C(N)S3)C1,0.6,9.221848749616356,Active
CHEMBL3959106,nM,N#Cc1ccc(C(=O)Nc2ccc3c(c2)C2(CCOC(N)=N2)c2cc(-c4cncc(F)c4)nc(F)c2O3)nc1,0.6,9.221848749616356,Active
CHEMBL4468455,nM,C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)cc(F)c2F)N=C(N)S[C@@]2(C(N)=O)C[C@H]21,0.6,9.221848749616356,Active
CHEMBL3695751,nM,CN1C(=O)C[C@]2(N=C1N)c1cc(-c3cccnc3F)ccc1Oc1c2cc(C2=CC(C)(C)OCC2)nc1F,0.6,9.221848749616356,Active
CHEMBL4109073,nM,NC1=N[C@@]2(c3cc(-c4cccnc4F)ccc3Oc3c(F)cc([N+]4=CCOCC4)cc32)c2nccn21,0.6,9.221848749616356,Active
CHEMBL3968202,nM,COC1CCC2(CC1)Cc1ccc(-c3ccc(F)c(Cl)c3)cc1C21N=C(N)N(C)C1=O,0.6,9.221848749616356,Active
CHEMBL5973253,nM,C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(S(C)(=O)=O)C[C@H]43)c2)cn1,0.6,9.221848749616356,Active
CHEMBL3394049,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(N3CCC(F)(F)C3)cc12,0.6,9.221848749616356,Active
CHEMBL5751398,nM,Cc1cc(OC(F)F)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CS(=O)(=O)C(C)(C)C(N)=N2)c1,0.6,9.221848749616356,Active
CHEMBL4578357,nM,Cc1cc(C#N)cnc1C(=O)Nc1ccc(F)c([C@@]2(C)N=C(N)C(C)(C)[S@@]3(=O)=NCC[C@@H]23)n1,0.6,9.221848749616356,Active
CHEMBL5747192,nM,C#CCOc1cnc(/C(F)=C/c2ccc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N5CCOC[C@H]5C)C[C@H]43)c2)cn1,0.6,9.221848749616356,Active
CHEMBL4217620,nM,CC#Cc1cncc(-c2ccc3c(c2)[C@@]2(N=C(C)C(N)=N2)[C@]2(CC[C@@H](OC)CC2)C3)c1,0.6,9.221848749616356,Active
CHEMBL5829050,nM,CC1(C)C(N)=N[C@](C)(c2cc(NC(=O)c3ncc(Cl)cc3F)ccc2F)CS1(=O)=O,0.6,9.221848749616356,Active
CHEMBL3955960,nM,N#Cc1ccc(C(=O)Nc2ccc3c(c2)C2(CCOC(N)=N2)c2cc(-c4ccnc(F)c4)nc(F)c2O3)nc1,0.6,9.221848749616356,Active
CHEMBL3680855,nM,C[C@]1(c2cc(NC(=O)c3ncc(Cl)cc3Cl)ccc2F)N=C(N)OC[C@@H]1F,0.6,9.221848749616356,Active
CHEMBL3945386,nM,Cc1nc(C(=O)Nc2ccc3c(c2)C2(CCOC(N)=N2)c2cc(-c4cncc(F)c4)nc(F)c2O3)cs1,0.6,9.221848749616356,Active
CHEMBL3667408,nM,NC1=N[C@@]2(c3cccc(NC(=O)c4ccc(F)cn4)c3)CN(c3ncc(F)cn3)C[C@H]2CS1,0.61,9.214670164989233,Active
CHEMBL4439134,nM,C[C@]1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)N=C(N)OCC12CC(F)(F)C2,0.615,9.211124884224583,Active
CHEMBL4452566,nM,COc1cnc(C(=O)Nc2ccc(F)c([C@]34CN(c5ncc(F)cn5)C[C@H]3CSC(N)=N4)c2)cn1,0.615,9.211124884224583,Active
CHEMBL5977725,nM,C[C@]1(c2cc(NC(=O)c3ccc(Cl)cn3)ccc2F)N=C(N)C2(CC2)S(=O)(=O)[C@H]1F,0.62,9.207608310501746,Active
CHEMBL4294221,nM,NC1=N[C@@]2(CO1)c1cc(NC(=O)c3ccc(Cl)cn3)ccc1Oc1cnc(C3=CCCOC3)cc12,0.62,9.207608310501746,Active
CHEMBL5286535,nM,COc1cc(/C=C/c2nnc(-c3ccc(F)cc3F)o2)ccc1O,0.624,9.204815410317575,Active
CHEMBL5266033,nM,COc1cc(/C=C/c2nnc(-c3ccc(Cl)cc3)o2)ccc1O,0.628,9.202040356262804,Active
CHEMBL4454250,nM,C#CCOc1cnc(C(=O)Nc2cc(F)c(F)c([C@@]3(CF)N=C(N)S[C@H]4C[C@H]43)c2)cn1,0.64,9.193820026016112,Active
CHEMBL4215837,nM,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2nc(NC(=O)c3ccn(C(F)F)n3)cs2)CO1,0.64,9.193820026016112,Active
CHEMBL1821820,nM,Cc1ccccc1-c1ccc2nc(N)c(C[C@@H](C)C(=O)NCCC(C)(C)C)cc2c1,0.65,9.187086643357144,Active
CHEMBL2031143,nM,CC(=O)N[C@@H](Cc1ccc(F)c(F)c1)[C@H](O)CN[C@H]1C[C@]2(C[C@H](C)C2)Oc2ncc(CC(C)(C)C)cc21,0.7,9.154901959985745,Active
CHEMBL3394210,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(-c2ccccc2)nc1F,0.7,9.154901959985745,Active
CHEMBL3394039,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(C3=CCOCC3)cc12,0.7,9.154901959985745,Active
CHEMBL1821728,nM,Cc1ccccc1-c1ccc2nc(N)c(C[C@@H](C)C(=O)N[C@@H]3CCOC(C)(C)C3)cc2c1,0.7,9.154901959985745,Active
CHEMBL2031142,nM,CC(=O)N[C@@H](Cc1ccc(F)c(F)c1)[C@H](O)CN[C@H]1C[C@]2(C[C@@H](C)C2)Oc2ncc(CC(C)(C)C)cc21,0.7,9.154901959985745,Active
CHEMBL3394048,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1cnc(N3CCC(F)(F)CC3)cc12,0.7,9.154901959985745,Active
CHEMBL5809643,nM,CC1(C)C(N)=N[C@](C)(c2cc(Nc3ncc(Cl)c4cc(Cl)cnc34)ccc2F)CS1(=O)=O,0.7,9.154901959985745,Active
CHEMBL3394223,nM,NC1=N[C@@]2(CO1)c1cc(-c3cccnc3F)ccc1Oc1c2cc(C2CCOCC2)nc1F,0.7,9.154901959985745,Active
CHEMBL3653702,nM,CC1=NC2(CC(C3CCCOC3)Oc3ccc(-c4cccc(Cl)c4)cc32)N=C1N,0.7,9.154901959985745,Active
CHEMBL3695752,nM,CN1C(=O)C[C@]2(N=C1N)c1cc(-c3cccnc3F)ccc1Oc1c2cc(C2=CCOC(C)(C)C2)nc1F,0.7,9.154901959985745,Active
CHEMBL5898718,nM,C[C@H]1C[C@H]2CSC(N)=N[C@@]2(c2nc(NC(=O)c3coc(CF)n3)cs2)CO1,0.7,9.154901959985745,Active
CHEMBL3893892,nM,CC#CCOc1cnc(C(=O)Nc2ccc(F)c([C@]3(CF)C[C@@H](C(F)(F)F)OC(N)=N3)c2)cn1,0.7,9.154901959985745,Active
