molecule_chembl_id,units,smiles,IC50_norm,pIC50,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL5872022,nM,CC(=O)COc1cnc(/C(F)=C/c2cnc(F)c([C@@]3(C)N=C(N)S[C@@]4(C(=O)N(C)C)C[C@H]43)c2)cn1,365.0,6.437707135543525,Intermediate,502.54700000000025,2.569700000000001,1.0,9.0
CHEMBL255602,nM,O=C(N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)[C@H]1C[C@@H](OCc2ccccc2)CN1)[C@H]1CC(=O)N(Cc2ccccc2F)C1,365.0,6.437707135543525,Intermediate,581.6350000000003,3.488100000000002,3.0,5.0
CHEMBL256679,nM,CCCCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)[C@H](CC(C)C)C1=O,365.0,6.437707135543525,Intermediate,599.7630000000001,4.611200000000004,3.0,5.0
CHEMBL3928092,nM,Cn1cc(NC(=O)c2ccc(Cl)cn2)cc([C@]2(C)C[C@@H](C(F)(F)F)OC(N)=N2)c1=O,366.0,6.436518914605589,Intermediate,443.81300000000016,2.567099999999999,2.0,7.0
CHEMBL3982006,nM,C[C@@]1(c2cc(Nc3ncnc4cc(C#N)cnc34)cnc2F)C[C@@H](C(F)(F)F)OC(N)=N1,368.0,6.434152181326482,Intermediate,446.3680000000001,3.0552799999999998,2.0,9.0
CHEMBL5746106,nM,COC1CCC2(CC1)Cc1ccc(OCCN(C)C)cc1C21NC(=O)N(C)C1=O,368.0,6.434152181326482,Intermediate,401.5070000000002,2.1353999999999997,1.0,5.0
CHEMBL3950945,nM,COC1CCC2(CC1)Cc1ccc(OCCN(C)C)cc1C21N=C(N)N(C)C1=O,368.5,6.43356250780493,Intermediate,400.5230000000002,1.7405000000000002,1.0,6.0
CHEMBL3962473,nM,CCc1cc(C(=O)Nc2csc([C@]34CO[C@@H](C)C[C@H]3CSC(N)=N4)n2)n(C)n1,369.0,6.432973633840939,Intermediate,420.56400000000014,2.3731,2.0,9.0
CHEMBL5930527,nM,Cc1cc(OC(F)F)cnc1C(=O)Nc1csc([C@]23COC4(CCC4)C[C@H]2COC(N)=N3)n1,370.0,6.431798275933005,Intermediate,479.50900000000047,3.1996200000000004,2.0,9.0
CHEMBL584509,nM,NC1=N[C@@](c2ccc(OC(F)(F)F)cc2)(c2cccc(-c3cccnc3F)c2)C2=NCCCN12,370.0,6.431798275933005,Intermediate,469.4420000000002,4.462400000000004,1.0,6.0
CHEMBL6033166,nM,CNCc1cccc(C2(c3ccc(OC(F)CF)c(C)c3)N=C(N)N(C)C2=O)c1,370.0,6.431798275933005,Intermediate,402.4450000000001,2.3886200000000004,2.0,5.0
CHEMBL2403779,nM,NC1=N[C@@]2(c3cc(NC(=O)c4ccc(Cl)cn4)ccc3F)C[C@H]2COC1,370.0,6.431798275933005,Intermediate,374.80300000000017,2.729000000000001,2.0,5.0
CHEMBL1760858,nM,CCc1cc(C[C@@H]2CS(=O)(=O)C[C@H](NCc3cccc(C(C)C)c3)[C@H]2O)ccc1O,370.0,6.431798275933005,Intermediate,431.5980000000001,3.1844000000000015,3.0,5.0
CHEMBL3670923,nM,CC1(C)OCC(N)=N[C@](C)(c2cc(Nc3ccc(Cl)nc3)ccc2F)C1(F)F,370.0,6.431798275933005,Intermediate,412.8430000000001,4.634200000000003,2.0,5.0
CHEMBL429505,nM,CCCCN1C[C@@H](C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)[C@H]2C[C@@H](OCc3ccccc3)CN2)CC1=O,370.0,6.431798275933005,Intermediate,529.6280000000003,2.948900000000001,3.0,5.0
CHEMBL3677240,nM,O=C(/C=C/c1ccc(O)cc1)CC(=O)/C=C/c1cc(OCc2ccccc2)ccc1Br,370.0,6.431798275933005,Intermediate,477.3540000000001,5.988600000000005,1.0,4.0
CHEMBL1824348,nM,Cc1sccc1C1(c2cccc(-c3cncnc3)c2)N=C(N)N(C)C1=O,370.0,6.431798275933005,Intermediate,363.44600000000014,2.54382,1.0,6.0
